Id,Player @,Content,Date
114,@patbev21,I’m def getting a @patbev21 bulls jersey,29-Mar-23
115,@patbev21,Fuck u @patbev21  hate u bitch fouling bron like that cause he kick ur ass of the team cause u suck,29-Mar-23
116,@patbev21,"That’s why you got traded Stewart little 
@patbev21",29-Mar-23
117,@NBCSBulls,"Nothin easy when Pat Bev's around 

@patbev21 | @NBCSBulls",29-Mar-23
118,@patbev21,why you're not taking hard fouls on lakers man? @patbev21,29-Mar-23
119,@patbev21,"Me cago en tus muertos, Beverley, en todos tus muertos, @patbev21",29-Mar-23
120,@patbev21,NOW @patbev21 TRYNA HURT PPL #lakers,29-Mar-23
121,@patbev21,Just cause we got rid of you don’t mean you gotta play dirty bra. @patbev21,29-Mar-23
122,@patbev21,"What is wrong with Pat Bev @patbev21 . You injure Lebron, i injure you back. Ode",29-Mar-23
123,@patbev21,Back to hating @patbev21,29-Mar-23
124,@patbev21,Dirty ass bitch @patbev21,29-Mar-23
125,@patbev21,Good ass foul by @patbev21,29-Mar-23
126,@patbev21,Here comes @patbev21 to help #LakeShow win,29-Mar-23
127,@patbev21,Lakers boutta lose to @patbev21 team..,29-Mar-23
128,@patbev21,say some shit to piss Dennis off so he can get his 2nd tech @patbev21,29-Mar-23
129,@patbev21,Wow @patbev21 you made a lay up. Truly a miracle. Maybe this won’t be your last year in the NBA. You actually did something that didn’t hurt your team. Truly exceptional,29-Mar-23
130,@patbev21,Bitch ass kneega @patbev21,29-Mar-23
131,@patbev21,Don’t poke the bear @chicagobulls  @patbev21 -F around and find out #nba #lakers,29-Mar-23
132,@patbev21,front running scrub u aint saying shit now throwing up all them bricks @patbev21,29-Mar-23
133,@patbev21,Get on ya lil podcast & talk about how ya'll bum ass niggas down 15 in da 1st quarter @patbev21,29-Mar-23
134,@patbev21,LeBron knows @patbev21,29-Mar-23
135,@ZachLaVine,The @chicagobulls players @ZachLaVine @DeMar_DeRozan @NikolaVucevic @patbev21 @ACFresh21 need to make a run make LeBron and LA Lakers play there game gotta make a run in this game let's go Bulls SeeingRed  #BullsNation,29-Mar-23
136,@patbev21,"Ahhhhh!!!! AINT NO FUN WHEN THE RABBIT GOT THE GUN @chicagobulls @patbev21 outmatched physically, intellectually and skillfully. And I’m leaving this tweet up.",29-Mar-23
137,@patbev21,Have a feeling it’s going to be a long night for @chicagobulls @patbev21 against @Lakers @KingJames.  #BullsNation #SeeRed #NBATwitter,29-Mar-23
138,@ZachLaVine,The @chicagobulls players @ZachLaVine @DeMar_DeRozan @NikolaVucevic @patbev21 @ACFresh21 need to make a run make LeBron and LA Lakers play there game gotta make a run in this game let's go Bulls SeeingRed  #BullsNation,29-Mar-23
139,@patbev21,"Ahhhhh!!!! AINT NO FUN WHEN THE RABBIT GOT THE GUN @chicagobulls @patbev21 outmatched physically, intellectually and skillfully. And I’m leaving this tweet up.",29-Mar-23
140,@patbev21,Have a feeling it’s going to be a long night for @chicagobulls @patbev21 against @Lakers @KingJames.  #BullsNation #SeeRed #NBATwitter,29-Mar-23
141,@SpectrumSN,“Talkin’ loud and sayin’ nothin’.” - James Brown for @patbev21  @SpectrumSN @JamesWorthy42 #LakeShow @RealAClifton #Spork  @Lakers @KingJames,29-Mar-23
142,@patbev21,Bigger they are the harder they fall @patbev21,29-Mar-23
143,@KingJames,"Anyone else think the Bulls are winning again tonight?

What are the odds @patbev21 does this to @KingJames again tonight?

#NBATwitterLive",29-Mar-23
144,@patbev21,Show @patbev21 who’s the king  in the NBA !!!@KingJames !!!!!! @patbev21 tread water due. We Love love  @KingJames,29-Mar-23
145,@patbev21,"Be careful @patbev21, LeBron gonna try to get you back tonight. He'll probably try to dunk on you. By the way, y'all gotta beat the Lakers tonight.",29-Mar-23
146,@patbev21,"#RIEDYxREPORT 

Best #, per seat (family of 4), in the 100 level tonight @ The UC is $2,252.00 via #GAMETIME

#LAKERS v #BullsNation

@ZachLaVine @patbev21
@DeMar_DeRozan @NikolaVucevic 

#VEGAS has you as a 10 pt dog 
KICK THEY'RE ASS TONIGHT 

Show everybody who TF you are",29-Mar-23
147,@rone,We might need @PatBev21 vs. @rone at @roughnrowdy after what Rone pulled with Pat Bev’s mom last week. @PatBevPod,29-Mar-23
148,@patbev21,Aye @patbev21 you full of shit my G,29-Mar-23
149,@Lj_era8,"No Substitute For Sports Ep. 12 available now on @YouTube Check it Out!

We Discuss…
Opening Day Roster without Leury
Where will @Lj_era8 play this season?
Bulls/@patbev21 make Nick eat his words!
 #WrestleMania Predictions!

Thank You Wooo!",29-Mar-23
150,@patbev21,@patbev21,29-Mar-23
151,@patbev21,Yeoo @patbev21 can you drop 15 today bro? On them bum Lakers?,29-Mar-23
152,@PatBevPod,"barstoolsports: When @patbev21 heard LeBron was making his return against the Bulls, he got FIRED up.

@PatBevPod @rone",29-Mar-23
153,@PatBevPod,"When @patbev21 heard LeBron was making his return against the Bulls, he got FIRED up.

@PatBevPod @rone",29-Mar-23
154,@patbev21,“FaceTime @lilsasquatch66 bitch ass” -@patbev21,29-Mar-23
155,@patbev21,"“SIT YO FLOPPIN ASS DOWN!!”

— @patbev21",29-Mar-23
156,@patbev21,Korkma titre! @patbev21,29-Mar-23
157,@patbev21,Hey @patbev21 how about 2 in a Row,29-Mar-23
158,@patbev21,I’m with @patbev21. Where’s the slander? James Harden got cooked for using these same tactics.,29-Mar-23
159,@patbev21,Lmfaooo @patbev21,28-Mar-23
160,@patbev21,Yo @patbev21 see you later buddy  #LakeShow,28-Mar-23
161,@patbev21,"Son this roach be getting in front if a camera to simply spew rubbish.
….? Like tf this even mean?

Worry about staying on a single NBA roster bud @patbev21",28-Mar-23
162,@patbev21,I need to see @patbev21 to lock in one of these commercials,28-Mar-23
163,@chicagobulls,"Pat Bev Edit

@patbev21 @chicagobulls",28-Mar-23
164,@patbev21,u a clown @patbev21,28-Mar-23
165,@patbev21,He was the one spearheading all of the talk against the bubble. Said they play ball year round so all the excuses didn’t matter. “Check ” right @patbev21?,28-Mar-23
166,@patbev21,The bubble made y’all blow a 3-1 lead huh @patbev21,28-Mar-23
167,@russwest44,.@patbev21  @russwest44,28-Mar-23
168,@patbev21,Keep thinking all you want @patbev21 it ain’t happen so what you gon do now ? Shutup and win something,28-Mar-23
169,@patbev21,This you? @patbev21,28-Mar-23
170,@patbev21,The bubble is the reason y’all lost a 3-1 lead? @patbev21,28-Mar-23
171,@patbev21,"I caught up with Patrick Beverley (@patbev21) last night, and he told me he has nothing but love for the Clippers and their fanbase.

“The fanbase is elite. It’s nothing but good memories and good times.”",28-Mar-23
172,@patbev21,son every time i watch @patbev21  podcast or tiktok the more he grows on me . he soils dude,28-Mar-23
173,@patbev21,I was a spoon and they used me as a fork. @patbev21,28-Mar-23
174,@patbev21,@patbev21 is him!,28-Mar-23
175,@NBAonTNT,.@patbev21 @NBAonTNT  @KingJames,28-Mar-23
176,@chicagobulls,"I believe in @patbev21 and the @chicagobulls to beat the bucks next week. 

So @celtics just need to go perfect and we get the 1 seed",28-Mar-23
177,@patbev21,@patbev21 you ain’t have that same energy last night tho?,28-Mar-23
178,@patbev21,"Please watch the @patbev21 documentary on YouTube. 94 Feet 

https://youtu.be/SEx1mhDQTFY",28-Mar-23
179,@PatBevPod,"barstoolsports: Even LeBron James isn't safe from the ""Too Small"" from @PatBev21.

@PatBevPod",28-Mar-23
180,@PatBevPod,"Even LeBron James isn't safe from the ""Too Small"" from @PatBev21.

@PatBevPod",28-Mar-23
181,@patbev21,"Patrick severely overhyped @patbev21 couldn’t win, I wonder his jock got beat by Zach Levine underperforming, Timberwolves never wanted you it’s a theme.",28-Mar-23
182,@patbev21,Pussy ass @patbev21 spread them cheeks for the Clippers every time,28-Mar-23
183,@patbev21,.@patbev21 whenever he plays the Lakers.,28-Mar-23
184,@patbev21,I’ll always love @patbev21,28-Mar-23
185,@patbev21,@patbev21,27-Mar-23
186,@patbev21,I mean u not Wrong @patbev21,27-Mar-23
187,@patbev21,You got any defensive adjustment recommendations for Batum @patbev21 ? They listening to you now?,27-Mar-23
188,@kawhileonard,"“Stop fucking flopping” @patbev21 tells @kawhileonard 

I fucking love @PatBevPod and it’s turned me into a @chicagobulls fan",27-Mar-23
189,@patbev21,2023 Player Hater’s Ball. @patbev21,27-Mar-23
190,@NBCSChicago,"21 21 21

@PatBev21 | @NBCSChicago",27-Mar-23
191,@patbev21,Why do I love @patbev21 all of a sudden,27-Mar-23
192,@patbev21,I fucking love @patbev21's energy,27-Mar-23
193,@chicagobulls,I fw @patbev21 being a @chicagobulls,27-Mar-23
194,@patbev21,Brodie said you a li boy @patbev21  #HeABaby  #ClipperNation,27-Mar-23
195,@patbev21,You still a fork nigga  @patbev21,27-Mar-23
196,@patbev21,"I went from hating this nigga to him being one of my favorite players lmao, keep doing you @patbev21",27-Mar-23
197,@patbev21,If you look right there it will show that you was part of the stink @patbev21,27-Mar-23
198,@succession,.@patbev21 is the NBA version of Rom from @succession.,27-Mar-23
199,@chicagobulls,The wonderful assholery that is @patbev21? Is exactly what the @chicagobulls need.,27-Mar-23
200,@laclippers,"Good Vibes Janky Drawing: ""Too Small to Ride"" [LACvsCHI 03.27.23]
---
""I don't give a fuck who you are, this is my city."" - @patbev21 
---
@laclippers #clippers #clippersbasketball #laclippers #nba #nbamemes #chicacobulls #patbev #mr94feet",27-Mar-23
201,@patbev21,Excited to see @patbev21 hoop live again tonight!,27-Mar-23
202,@patbev21,Found out today me and dis man share the same birthday  No Wonder son be wilding… Yeah we both Cancers Y’all…  @patbev21,27-Mar-23
203,@KingJames,This may be my new screensaver.  I love it so much.   @patbev21  @KingJames,27-Mar-23
204,@russwest44,Bro @patbev21 and @russwest44 play tonight! i cant wait for those post game interviews lol. Hope some1 ask them about their time with the s,27-Mar-23
205,@patbev21,"No doubt about it! @BawlSports awarded @patbev21 with the ""Goon of the Night"" following the Bulls win over the Lakers.

Because, well…he did PatBev things. And it was glorious.",27-Mar-23
206,@patbev21,Wait is @patbev21 showing Russ luv wit the HTG fit!  I love it! Its DOPE that they cool now.,27-Mar-23
207,@patbev21,Dog recognize Dog!!! Salute @patbev21,27-Mar-23
208,@patbev21,Mad love for:@patbev21 ...but Jordan would hunt him down to his kids school for this.. Knock em out the play offs son,27-Mar-23
209,@patbev21,"Patrick Beverley speaks out on how the #Lakers are not properly utilizing him, per @LegionHoops 

#NBA #Bulls #BullsNation @patbev21",27-Mar-23
210,@patbev21,Time to cut out the middle man and break bread @patbev21,27-Mar-23
211,@patbev21,Nothing left to do but antics huh? @patbev21,27-Mar-23
212,@patbev21,I hope @CP3 & @patbev21 stay ringless,27-Mar-23
213,@patbev21,the @patbev21 effect,27-Mar-23
214,@patbev21,"The @chicagobulls are 10-5 since bringing @patbev21 back home. Seems like the biggest thing the team needed to be consistent was a competitor who speaks up and tells it like it is, and Pat Bev has been that missing piece these last 15 games. He's been a joy to watch.",27-Mar-23
215,@patbev21,"lil ass boi , let rm know @patbev21",27-Mar-23
216,@patbev21,"Nah @patbev21 your like duct tape, a temporary fix until a better solution. That's why the league passing you around like a blunt. 
#WeAreTheValley",27-Mar-23
217,@patbev21,FACTS! Peasants like @patbev21 do anything for some attn bc he not good enough on the floor to get any,27-Mar-23
218,@patbev21,"Tough loss yesterday. At least @KingJames is back. We will be talking about a lot today. Oh yeah,  @patbev21 . This is The Daytime #LakeShow of #NBATwitter #onVSN https://x.com/i/spaces/1yokm/i/spaces/1yoKMZMDgLzGQ…",27-Mar-23
219,@patbev21,Shannon Sharpe is a top 5 tight end of all time and @patbev21 is top 5 of worst shooters in the league,27-Mar-23
220,@KFC_ES,Sporks are better anyways @patbev21 ask @KFC_ES,27-Mar-23
221,@patbev21,#TheLastLaugh @patbev21,27-Mar-23
222,@patbev21,"Nah , I respect @patbev21 for this commitment",27-Mar-23
223,@patbev21,"Pat Bev still feels the same

He still helping the Wolves. Much appreciated @patbev21",27-Mar-23
224,@patbev21,"The silliness...no, Tyus Edney didn't but @patbev21 would have done this to Jordan too. He doesn't discriminate, he talks trash to everyone. Oh yes, many others have disrespected Jordan to his face. Don't believe everything you see on the internet. https://x.com/bansky/status//bansky/status/1640114359123816448…",27-Mar-23
225,@patbev21,Same record as Bulls @patbev21 .. But hey go off.,27-Mar-23
226,@patbev21,I love him lmao keep talking your shit @patbev21 https://x.com/GuruLakers/sta/GuruLakers/status/1640154638027722752…,27-Mar-23
227,@patbev21,Ain’t Gon Lie @patbev21  You Really trash,27-Mar-23
228,@patbev21,Lettem know gyou back home fuckin shit up. Those dusty ass lakers can hold that L @patbev21,27-Mar-23
229,@patbev21,Naw cause when I saw @patbev21 smacked the court  that city mentality came out of him  he don’t give a fuck && I love it,27-Mar-23
230,@patbev21,Need @LisandrMartinez to hit that @patbev21 celebration next time he scores,27-Mar-23
231,@patbev21,"Good morning, 

Just wondering what team has @patbev21 been on that he’s actually helped?  #whereyaringsat

CARRY ON!!",27-Mar-23
232,@patbev21,Who did @patbev21 suck to get into the league ?  bro must’ve been on Epstiens island or something,27-Mar-23
233,@patbev21,Why you talking like you did something @patbev21 https://x.com/GuruLakers/sta/GuruLakers/status/1640154638027722752…,27-Mar-23
234,@patbev21,Bulls legend @patbev21,27-Mar-23
235,@patbev21,Lol too small for @patbev21,27-Mar-23
236,@patbev21,Let da hurt go ma… thought u was gang huh @patbev21 #lakeshow  see u wed.,27-Mar-23
237,@patbev21,"Bruhh 
I’m sure @patbev21 knows he trippin…
Good game tho.",27-Mar-23
238,@Charmin,Looks like @patbev21 enjoyed the go with @Charmin,27-Mar-23
239,@guillegimenez_,Jejejjeje @patbev21 pero patttttt...... Este tío como dice @guillegimenez_ es un flipaoooooo !!!!!!! @chicagobulls #nba,26-Mar-23
240,@patbev21,I'm so happy that @patbev21 got that win,26-Mar-23
241,@ARHoopScoop,"Hogs great & Bulls G Patrick Beverley @patbev21 started & had 10 pts (4-7 FGs, incl 1-3 from 3, & 1-2 FTs), 5 asts, 4 rbs, 1 stl in 23 mins in Chicago's 118-108 road win over the Los Angeles Lakers on Sunday ...

(@ARHoopScoop sponsor Parkway Automotive)",26-Mar-23
242,@Charmin,Damn. @patbev21 just left us with @Charmin   so we can clean up our . See you tomorrow 10:55 am West Coast,26-Mar-23
243,@cryptocom,Yo @patbev21 what were those kicks you were wearing at the @cryptocom arena @PatBevPod @rone,26-Mar-23
244,@patbev21,Big salute to you @patbev21 !!! Do it again on your next game!,26-Mar-23
245,@patbev21,"I heart @patbev21 
Keep helping the wolves out.",26-Mar-23
246,@patbev21,So @patbev21 I love it,26-Mar-23
247,@patbev21,Lakers fans going crazy tonight. I see why @patbev21 did what he did after the game.,26-Mar-23
248,@Lakers,"Nanginis at ‘nabahuan’ si Patrick Beverley sa Los Angeles Lakers.
https://tnt.abante.com.ph/2023/03/27/niyabangan-na-patrick-beverley-nabahuan-sa-lakers/sports/…
#TunayNaTabloidista  #AbanteSports 
@patbev21  @Lakers   @chicagobulls",26-Mar-23
249,@patbev21,Thank you sir @patbev21,26-Mar-23
250,@patbev21,New Wallpaper  @patbev21 #BullsNation,26-Mar-23
251,@patbev21,Thanks for the wallpaper @patbev21,26-Mar-23
252,@patbev21,"Patrick Beverley put the final nail in the Lakers’ coffin on Monday as he sank a floater against the defense of LeBron James, which was followed by a savage taunt.
https://fastbreak.com.ph/watch-beverley-buries-james-lakers-with-too-small-taunt/…
#FastbreakNews
@chicagobulls @patbev21
@KingJames @Lakers",26-Mar-23
253,@patbev21,Lol @patbev21 is wild! #GoBulls,26-Mar-23
254,@patbev21,@patbev21,26-Mar-23
255,@patbev21,I love you @patbev21 please continue to own LeBum,26-Mar-23
256,@KingJames,Wtf did @patbev21 tell @KingJames that he was to small come on @patbev21 don't do to @KingJames on his first game back #SundayThoughts #sundayvibes @Lakers vs @chicagobulls @nba @twitter @meta @instagram @NBA,26-Mar-23
257,@chicagobulls,I want to Udonis Haslem @patbev21 and never see him in another uniform again….@chicagobulls,26-Mar-23
258,@patbev21,Por eso va a ser un jugador de re mierda toda su puta vida @patbev21 simio inmundo,26-Mar-23
259,@patbev21,Excellent story-telling here by documentarian Trice High @Tr1ce_H1gh -- 94 Feet / The Inspiring Story of Patrick Beverley ... really enjoyed participating to help tell @patbev21's part of the journey that brought him to Arkansas as a Razorback ... 2,26-Mar-23
260,@KingJames,Shoutout to @patbev21 for calling @KingJames too small . . . James needed that . See you next game pat .,26-Mar-23
261,@patbev21,Yoooo @charmin we could fill a segment or two on this question alone. @patbev21 Charmin SOFT or STRONG??  What do ya’ll think?,26-Mar-23
262,@chicagobulls,Things change  @patbev21 a dAwg.. Go bulls @chicagobulls Get thus man in the American idol!! Can’t wait til his MIXTAPE DROPS bloodeye #gamblingtwitter #prizepicks #NBATwitter #americanidiol #singer #dawg #chicago #mixtape #californiagold #Red,26-Mar-23
263,@patbev21,Cant wait for Wednesday @patbev21,26-Mar-23
264,@patbev21,"Please make check/money order payable to:

Pat Bev Studios @patbev21
21 Bull Market St.
Top of the Key, Los Angeles, CA 90015",26-Mar-23
265,@patbev21,.@patbev21 is 5’6 playing like 6’1  #lakersvsbulls,26-Mar-23
266,@chicagobulls,"Also, shout out to @patbev21 man! That man just knows how to set a  in these players heart! Like that’s a rare talent! And I respect it! ChiTown! We in the Mf building! Lmao @chicagobulls",26-Mar-23
267,@Timberwolves,I love @patbev21 and miss him in a @Timberwolves uniform.,26-Mar-23
268,@patbev21,Lol @patbev21,26-Mar-23
269,@patbev21,"Hey in our world, soft is king… keep it up @patbev21",26-Mar-23
270,@patbev21,Mi personalidad se basa en @patbev21 #NuevaFotoDePerfil,26-Mar-23
271,@KingJames,"if you getting too smalled by @patbev21 , I think it’s time to hang it up  @KingJames",26-Mar-23
272,@patbev21,I mean nobody liked my tweet but it doesn’t mean I wasn’t right now all these new memes comes out . I’m not surprised . Shout out @patbev21,26-Mar-23
273,@patbev21,When he gave Lebron that work tonight @patbev21,26-Mar-23
274,@patbev21,God I love @patbev21,26-Mar-23
275,@patbev21,All jokes aside @patbev21 gotta be the funniest nigga in the NBA  nigga told Bron he too lol,26-Mar-23
276,@patbev21,Thank you @patbev21,26-Mar-23
277,@MsMeliss,"#CoachBev is the ULTIMATE TROLL 
@YoungJordan @MsMeliss @hesaidwutsports @Ramina1690 @chiiicxgo @CHGO_Bulls @chicagobulls @patbev21",26-Mar-23
278,@670TheScore,".@patbev21 isn’t afraid to troll anyone 

His target on Sunday? Former teammate LeBron James. 

Story via @670TheScore: https://auda.cy/40jgPJk",26-Mar-23
279,@patbev21,I love Pat Bev !! @patbev21,26-Mar-23
280,@patbev21,"You think @kobebryant letting @patbev21 lil man him?!  

Again he let jj barea lock him down in the finals. I can’t with you niggas and this goat shit I stg. Sure, greatest talent but that is not a fucking goat. I don’t give a damn about the foot, we talking about Beverly.",26-Mar-23
281,@patbev21,Give @patbev21 the MVP award already!!! #hilarious #toosmallLBJ,26-Mar-23
282,@patbev21,The bulls need to resign @patbev21 so I can buy a jersey https://x.com/mkhoops/status/mkhoops/status/1640110712302497792…,26-Mar-23
283,@patbev21,TE AMO @patbev21,26-Mar-23
